step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
1220,5.199296,5.722389,0.0005999115439316394,62515200,1717.6,0.5855,3723.8,3.93,12.8,2026-04-18T06:31:13.812739
1230,5.200473,5.710498,0.0005999033202012535,63027200,1717.2,0.4975,3753.7,3.93,12.8,2026-04-18T06:31:43.630781
1240,5.050011,5.698573,0.0005998947310608956,63539200,1716.3,0.5416,3783.5,3.93,12.8,2026-04-18T06:32:13.459680
1250,4.992028,5.683552,0.0005998857765221942,64051200,1716.1,0.4418,3813.3,3.93,12.8,2026-04-18T06:32:43.294714
1260,4.920448,5.668954,0.0005998764565972721,64563200,1717.7,0.4103,3843.1,3.93,12.8,2026-04-18T06:33:13.102231
1270,5.068356,5.655584,0.0005998667712987475,65075200,1718.8,1.4979,3872.9,3.93,12.8,2026-04-18T06:33:42.890233
1280,5.046247,5.641283,0.0005998567206397326,65587200,1716.0,0.4578,3902.8,3.93,12.8,2026-04-18T06:34:12.727064
1290,4.807804,5.628055,0.0005998463046338349,66099200,1719.3,0.4559,3932.5,3.93,12.8,2026-04-18T06:34:42.507000
1300,4.782784,5.613254,0.0005998355232951559,66611200,1717.8,0.5112,3962.3,3.93,12.8,2026-04-18T06:35:12.312881
1310,5.010132,5.601808,0.0005998243766382918,67123200,1718.6,0.4653,3992.1,3.93,12.8,2026-04-18T06:35:42.103965
1320,5.094478,5.590026,0.000599812864678334,67635200,1717.9,0.5703,4021.9,3.93,12.8,2026-04-18T06:36:11.908580
1330,5.226979,5.580943,0.0005998009874308676,68147200,1716.1,0.898,4051.8,3.93,12.8,2026-04-18T06:36:41.744104
1340,4.844541,5.565968,0.000599788744911973,68659200,1717.3,0.4249,4081.6,3.93,12.8,2026-04-18T06:37:11.557907
1350,5.049531,5.543923,0.0005997761371382247,69171200,1716.1,0.5211,4111.4,3.93,12.8,2026-04-18T06:37:41.392772
1360,4.983384,5.534094,0.0005997631641266917,69683200,1716.8,0.4306,4141.2,3.93,12.8,2026-04-18T06:38:11.215356
1370,4.816094,5.521679,0.0005997498258949376,70195200,1717.2,0.6982,4171.1,3.93,12.8,2026-04-18T06:38:41.032083
1380,4.894194,5.508914,0.0005997361224610206,70707200,1716.3,0.5564,4200.9,3.93,12.8,2026-04-18T06:39:10.863987
1390,4.90142,5.498786,0.0005997220538434929,71219200,1714.4,0.4666,4230.8,3.93,12.8,2026-04-18T06:39:40.728544
1400,4.770488,5.483788,0.0005997076200614016,71731200,1717.1,0.5062,4260.6,3.93,12.8,2026-04-18T06:40:10.545732
1410,5.10147,5.472381,0.0005996928211342878,72243200,1717.0,0.5002,4290.4,3.93,12.8,2026-04-18T06:40:40.364720
1420,4.830003,5.459752,0.0005996776570821871,72755200,1718.1,0.5273,4320.2,3.93,12.8,2026-04-18T06:41:10.164286
1430,4.721616,5.444346,0.0005996621279256296,73267200,1717.1,0.4238,4350.0,3.93,12.8,2026-04-18T06:41:39.981312
1440,4.858204,5.433385,0.0005996462336856393,73779200,1716.4,0.5782,4379.8,3.93,12.8,2026-04-18T06:42:09.811559
1450,4.878681,5.420545,0.0005996299743837349,74291200,1715.3,0.4788,4409.7,3.93,12.8,2026-04-18T06:42:39.659788
1460,4.810684,5.407811,0.000599613350041929,74803200,1716.8,0.4758,4439.5,3.93,12.8,2026-04-18T06:43:09.482320
1470,4.710102,5.392381,0.0005995963606827286,75315200,1718.6,0.4291,4469.3,3.93,12.8,2026-04-18T06:43:39.273564
1480,4.877119,5.381528,0.0005995790063291348,75827200,1716.5,0.5325,4499.1,3.93,12.8,2026-04-18T06:44:09.102015
1490,4.781031,5.369581,0.0005995612870046429,76339200,1716.5,0.9174,4529.0,3.93,12.8,2026-04-18T06:44:38.929690
1500,4.731833,5.357011,0.0005995432027332424,76851200,1716.9,0.4653,4558.8,3.93,12.8,2026-04-18T06:45:08.750607
1510,4.859829,5.345733,0.0005995247535394166,77363200,1027.1,1.4046,4608.6,3.93,12.8,2026-04-18T06:45:58.600045
1520,4.586404,5.33257,0.000599505939448143,77875200,1717.4,0.9764,4638.4,3.93,12.8,2026-04-18T06:46:28.411752
1530,4.806176,5.321144,0.0005994867604848935,78387200,1717.3,0.5199,4668.3,3.93,12.8,2026-04-18T06:46:58.226740
1540,4.754183,5.309268,0.0005994672166756333,78899200,1716.7,0.6798,4698.1,3.93,12.8,2026-04-18T06:47:28.051501
1550,4.409643,5.291837,0.0005994473080468219,79411200,1718.0,2.3726,4727.9,3.93,12.8,2026-04-18T06:47:57.853745
1560,4.83177,5.281455,0.0005994270346254129,79923200,1716.9,0.9178,4757.7,3.93,12.8,2026-04-18T06:48:27.675518
1570,4.808805,5.270661,0.0005994063964388535,80435200,1715.2,1.06,4787.6,3.93,12.8,2026-04-18T06:48:57.527185
